Algorithm,Test_Category,Data_Type,Text_Size_Bytes,Pattern_Size_Bytes,Execution_Time_Ms,Memory_Usage_KB,Matches_Found,Is_Correct,L1_Cache_Misses,L2_Cache_Misses,Instructions,Cache_Miss_Rate,Efficiency_Score,Cache_Efficiency,Cache_Data_Available
KMP,Standard,Binary Patterns,100000,32,3.342667,0.125,1,Yes,49984,0,3354487,0.01490064,98.361,98.510,Yes
Rabin-Karp,Standard,Binary Patterns,100000,32,1.872000,2.000,1,Yes,49984,0,1882258,0.02655534,97.273,97.344,Yes
Boyer-Moore,Standard,Binary Patterns,100000,32,0.103000,1.000,1,Yes,49984,0,105200,0.47513308,99.016,52.487,Yes
Naive,Cache Boundary,Clean Text (Cache Test),16384,4,0.330667,0.000,1,Yes,0,0,317554,0.00000000,99.849,100.000,Yes
KMP,Cache Boundary,Clean Text (Cache Test),16384,4,0.600000,0.016,1,Yes,0,0,596200,0.00000000,99.712,100.000,Yes
Rabin-Karp,Cache Boundary,Clean Text (Cache Test),16384,4,0.307333,2.000,1,Yes,0,0,304096,0.00000000,97.985,100.000,Yes
Boyer-Moore,Cache Boundary,Clean Text (Cache Test),16384,4,0.140333,1.000,1,Yes,0,0,140870,0.00000000,98.999,100.000,Yes
Naive,Cache Boundary,Clean Text (Cache Test),16384,16,0.317000,0.000,1,Yes,0,0,342287,0.00000000,99.856,100.000,Yes
KMP,Cache Boundary,Clean Text (Cache Test),16384,16,0.593667,0.062,1,Yes,0,0,605845,0.00000000,99.671,100.000,Yes
Rabin-Karp,Cache Boundary,Clean Text (Cache Test),16384,16,0.357667,2.000,1,Yes,0,0,313741,0.00000000,97.962,100.000,Yes
Boyer-Moore,Cache Boundary,Clean Text (Cache Test),16384,16,0.043667,1.000,1,Yes,0,0,45808,0.00000000,99.043,100.000,Yes
Naive,Cache Boundary,Clean Text (Cache Test),32768,4,0.641667,0.000,1,Yes,0,0,642474,0.00000000,99.708,100.000,Yes
KMP,Cache Boundary,Clean Text (Cache Test),32768,4,1.224333,0.016,1,Yes,0,0,1226183,0.00000000,99.428,100.000,Yes
Rabin-Karp,Cache Boundary,Clean Text (Cache Test),32768,4,0.625000,2.000,1,Yes,0,0,608833,0.00000000,97.840,100.000,Yes
Boyer-Moore,Cache Boundary,Clean Text (Cache Test),32768,4,0.289667,1.000,1,Yes,0,0,282941,0.00000000,98.931,100.000,Yes
Naive,Cache Boundary,Clean Text (Cache Test),32768,16,0.646667,0.000,1,Yes,0,0,644587,0.00000000,99.706,100.000,Yes
KMP,Cache Boundary,Clean Text (Cache Test),32768,16,1.194333,0.062,1,Yes,0,0,1197629,0.00000000,99.398,100.000,Yes
Rabin-Karp,Cache Boundary,Clean Text (Cache Test),32768,16,0.611333,2.000,1,Yes,0,0,616095,0.00000000,97.847,100.000,Yes
Boyer-Moore,Cache Boundary,Clean Text (Cache Test),32768,16,0.077333,1.000,1,Yes,0,0,79266,0.00000000,99.027,100.000,Yes
Naive,Cache Boundary,Clean Text (Cache Test),65536,4,1.280333,0.000,1,Yes,0,0,1299674,0.00000000,99.417,100.000,Yes
KMP,Cache Boundary,Clean Text (Cache Test),65536,4,2.369333,0.016,1,Yes,0,0,2373645,0.00000000,98.906,100.000,Yes
Rabin-Karp,Cache Boundary,Clean Text (Cache Test),65536,4,1.215333,2.000,1,Yes,0,0,1226208,0.00000000,97.572,100.000,Yes
Boyer-Moore,Cache Boundary,Clean Text (Cache Test),65536,4,0.547000,1.000,1,Yes,0,0,550899,0.00000000,98.813,100.000,Yes
Naive,Cache Boundary,Clean Text (Cache Test),65536,16,1.340667,0.000,1,Yes,0,0,1280325,0.00000000,99.389,100.000,Yes
KMP,Cache Boundary,Clean Text (Cache Test),65536,16,2.463000,0.062,1,Yes,0,0,2467991,0.00000000,98.820,100.000,Yes
Rabin-Karp,Cache Boundary,Clean Text (Cache Test),65536,16,1.254333,2.000,1,Yes,0,0,1262254,0.00000000,97.554,100.000,Yes
Boyer-Moore,Cache Boundary,Clean Text (Cache Test),65536,16,0.152000,1.000,1,Yes,0,0,152791,0.00000000,98.993,100.000,Yes
Naive,Cache Boundary,Clean Text (Cache Test),131072,4,2.625333,0.000,1,Yes,8192,0,2680991,0.00305559,98.804,99.694,Yes
KMP,Cache Boundary,Clean Text (Cache Test),131072,4,4.725000,32.000,1,Yes,8192,0,5387045,0.00152069,67.848,99.848,Yes
Rabin-Karp,Cache Boundary,Clean Text (Cache Test),131072,4,2.449333,2.000,1,Yes,8192,0,2432437,0.00336782,97.010,99.663,Yes
Boyer-Moore,Cache Boundary,Clean Text (Cache Test),131072,4,1.102667,1.000,1,Yes,8192,0,1092549,0.00749806,98.560,99.250,Yes
Naive,Cache Boundary,Clean Text (Cache Test),131072,16,2.540333,0.000,1,Yes,32768,0,2582458,0.01268869,98.843,98.731,Yes
KMP,Cache Boundary,Clean Text (Cache Test),131072,16,4.710667,0.062,1,Yes,32768,0,4720637,0.00694144,97.796,99.306,Yes
Rabin-Karp,Cache Boundary,Clean Text (Cache Test),131072,16,2.431667,2.000,1,Yes,32768,0,2431587,0.01347597,97.018,98.652,Yes
Boyer-Moore,Cache Boundary,Clean Text (Cache Test),131072,16,0.292333,1.000,1,Yes,32768,0,291866,0.11227070,98.929,88.773,Yes
Naive,Cache Boundary,Clean Text (Cache Test),524288,4,10.107000,0.000,1,Yes,32768,0,10144479,0.00323013,95.398,99.677,Yes
KMP,Cache Boundary,Clean Text (Cache Test),524288,4,18.859000,0.016,1,Yes,32768,0,19021241,0.00172271,91.397,99.828,Yes
Rabin-Karp,Cache Boundary,Clean Text (Cache Test),524288,4,9.724000,2.000,1,Yes,32768,0,9715362,0.00337280,93.697,99.663,Yes
Boyer-Moore,Cache Boundary,Clean Text (Cache Test),524288,4,4.335000,1.000,1,Yes,32768,0,4338879,0.00755218,97.088,99.245,Yes
Naive,Cache Boundary,Clean Text (Cache Test),524288,16,10.122000,0.000,1,Yes,131072,0,10249600,0.01278801,95.391,98.721,Yes
KMP,Cache Boundary,Clean Text (Cache Test),524288,16,18.889000,0.062,1,Yes,131072,0,21066970,0.00622168,91.340,99.378,Yes
Rabin-Karp,Cache Boundary,Clean Text (Cache Test),524288,16,9.721333,2.000,1,Yes,131072,0,9713654,0.01349358,93.698,98.651,Yes
Boyer-Moore,Cache Boundary,Clean Text (Cache Test),524288,16,1.176667,1.000,1,Yes,131072,0,1176187,0.11143806,98.527,88.856,Yes
Naive,Cache Boundary,Clean Text (Cache Test),1048576,4,20.334667,0.000,1,Yes,65536,8192,20728279,0.00316167,90.740,99.684,Yes
KMP,Cache Boundary,Clean Text (Cache Test),1048576,4,37.897000,0.016,1,Yes,65536,8192,39341145,0.00166584,82.728,99.833,Yes
Rabin-Karp,Cache Boundary,Clean Text (Cache Test),1048576,4,20.049667,2.000,1,Yes,65536,8192,19625366,0.00333935,88.995,99.666,Yes
Boyer-Moore,Cache Boundary,Clean Text (Cache Test),1048576,4,8.698000,1.000,1,Yes,65536,8192,8741745,0.00749690,95.102,99.250,Yes
Naive,Cache Boundary,Clean Text (Cache Test),1048576,16,20.282667,0.000,1,Yes,262144,32768,20515154,0.01277807,90.764,98.722,Yes
KMP,Cache Boundary,Clean Text (Cache Test),1048576,16,37.874333,0.062,1,Yes,262144,32768,38094841,0.00688135,82.694,99.312,Yes
Rabin-Karp,Cache Boundary,Clean Text (Cache Test),1048576,16,19.598333,2.000,1,Yes,262144,32768,19593987,0.01337880,89.200,98.662,Yes
Boyer-Moore,Cache Boundary,Clean Text (Cache Test),1048576,16,2.421333,1.000,1,Yes,262144,32768,2415871,0.10850910,97.960,89.149,Yes
Naive,Cache Boundary,Clean Text (Cache Test),4194304,4,81.753000,0.000,1,Yes,262144,32768,82526549,0.00317648,62.772,99.682,Yes
KMP,Cache Boundary,Clean Text (Cache Test),4194304,4,153.719667,0.016,1,Yes,262144,32768,152726658,0.00171643,29.985,99.828,Yes
Rabin-Karp,Cache Boundary,Clean Text (Cache Test),4194304,4,84.014000,2.000,1,Yes,262144,32768,78687858,0.00333144,59.867,99.667,Yes
Boyer-Moore,Cache Boundary,Clean Text (Cache Test),4194304,4,34.722000,1.000,1,Yes,262144,32768,34754241,0.00754279,83.251,99.246,Yes
Naive,Cache Boundary,Clean Text (Cache Test),4194304,16,81.572667,0.000,1,Yes,1048576,131072,81332450,0.01289247,62.854,98.711,Yes
KMP,Cache Boundary,Clean Text (Cache Test),4194304,16,152.335667,0.062,1,Yes,1048576,131072,152209458,0.00688903,30.572,99.311,Yes
Rabin-Karp,Cache Boundary,Clean Text (Cache Test),4194304,16,77.993000,2.000,1,Yes,1048576,131072,83474750,0.01256159,62.609,98.744,Yes
Boyer-Moore,Cache Boundary,Clean Text (Cache Test),4194304,16,9.562333,1.000,1,Yes,1048576,131072,9617387,0.10902920,94.708,89.097,Yes
